Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With retirement income,Margin of Error; Total: - With retirement income,Estimate; Total: - No retirement income,Margin of Error; Total: - No retirement income
Allegheny Center,1,733,103,134,66,599,105
Allegheny West,2,150,46,12,13,138,45
Allentown,3,1138.0,152.751432072,128.0,46.5403051129,1010.0,146.181394165
Arlington,4,685.0,105.366028681,102.0,44.0454310911,583.0,101.666120217
Arlington Heights,5,170,69,0,10,170,69
Banksville,6,2002.0,224.986666271,399.0,128.541821988,1603.0,224.336800369
Bedford Dwellings,7,684,63,30,24,654,66
Beechview,8,3557.0,270.051846874,595.0,119.524056156,2962.0,269.620103108
Beltzhoover,9,869.0,146.594679303,205.0,86.2728230673,664.0,135.506457411
Bloomfield,10,4640.0,215.506380416,498.0,96.3275661481,4142.0,221.810730128
Bluff,11,274.0,67.6830850361,46.0,27.5136329844,228.0,63.2929695938
Bon Air,12,356,74,85,39,271,72
Brighton Heights,13,3259.0,203.816093574,530.0,103.223059439,2729.0,212.273408602
Brookline,14,6017.0,340.492290662,1330.0,180.47991578,4687.0,356.489831552
California-Kirkbride,15,291,52,57,29,234,49
Carrick,16,4310.0,280.110692406,882.0,148.795161211,3428.0,279.776696671
Central Business District,17,1831.0,222.436507795,140.0,58.7962583843,1691.0,223.250979841
Central Lawrenceville,18,2230.0,175.339670354,369.0,78.3836717691,1861.0,176.697481589
Central Northside,19,1487.0,126.4673871,206.0,69.2242731995,1281.0,130.061523903
Central Oakland,20,1918.0,152.6761278,96.0,34.885527085,1822.0,153.31992695
Chartiers City,21,215,60,61,37,154,64
Chateau,22,0,10,0,10,0,10
Crafton Heights,23,1640.0,124.49899598,264.0,68.1689078687,1376.0,122.841361112
Crawford-Roberts,24,1146.0,147.322774886,183.0,77.6208734813,963.0,145.602197786
Duquesne Heights,25,1175.0,108.706025592,160.0,59.5399025864,1015.0,110.258786498
East Allegheny,26,1318.0,147.989864518,91.0,39.0512483795,1227.0,150.695056322
East Carnegie,27,223,38,20,15,203,38
East Hills,28,1325.0,142.530698448,264.0,76.4198926982,1061.0,146.2224333
East Liberty,29,2894.0,229.279305651,347.0,103.754517974,2547.0,230.004347786
Elliott,30,947.0,129.853763904,159.0,49.0509938737,788.0,128.074197245
Esplen,31,147,53,26,20,121,53
Fairywood,32,457,85,43,24,414,80
Fineview,33,648.0,107.517440446,142.0,65.2150289427,506.0,106.667708328
Friendship,34,1077.0,125.924580603,26.0,29.4108823397,1051.0,126.245792009
